sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
208307	P3B	P3B_1.fq.gz	e09fe23d3de700392d5f32f6c57534b34769b8af4bc8665c04f9fa91c072469f	P3B_2.fq.gz	d27a1275d9b5e6f42bcf3214bb2a55a2b470486393509d3cf5db203fdf9f0670	1068	20241029T082842_grilljo1	332944	230819	5665	228596	5584	8	2	2215	79	204637	97	14683	2481	1546	240	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208324	D22B	D22B_1.fq.gz	435cc9fccdecc584feee5f5487b75f21135ce1da33dbfcba6c0cd72e1791084f	D22B_2.fq.gz	d0d20abcda936b362e0fa8257e32b546e7cfc9eb31551a6f5d6121216c63091a	1068	20241029T082842_grilljo1	456411	321980	7588	319598	7497	0	0	2382	91	291219	110	23732	6711	4028	214	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	7.78333300	134.58333300	20180106	0-16
208335	P18D	P18D_1.fq.gz	1b877b033fb91cff6feb3fe572755340641349c322f60d8792506c55ee6bd6e1	P18D_2.fq.gz	21ae7f7937693de28830a7533ff230e625c7b51c28d2651fc9eaf6d757e54168	1068	20241029T082842_grilljo1	290260	201797	5202	201332	5172	394	18	71	12	184864	97	13500	3417	2524	1022	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208346	P18E	P18E_1.fq.gz	5dce59b64b83b2c37f234fbb617a9ca89f42f4fcb19632001812e934fd2881b5	P18E_2.fq.gz	0986f9bc1b201d2597fac96363cf595911d887862b4d9ea4a24a07fcb7bf7fab	1068	20241029T082842_grilljo1	379343	264177	6436	263000	6379	0	0	1177	57	239819	98	16920	4409	5428	657	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208356	P17F	P17F_1.fq.gz	ec0dd822aeca96d581f51b32649fed51353fefb628758d4c9b43d65c6350dbfd	P17F_2.fq.gz	ef98ad2def33c9294a65375d2b6efd3b2a223f36038d48110ac928f72fd2b1bf	1068	20241029T082842_grilljo1	431080	314198	6970	311358	6853	408	19	2432	98	288542	101	20978	6183	1580	1689	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208313	P18B	P18B_1.fq.gz	19cb3611969d65a80c6e7614984a7b6ea2d6d58bc9c92d044451128ef31d709b	P18B_2.fq.gz	e4485bdfb0ba2584ceba7d6f574abb795e27e3e39c199627dc04860d7d7889ab	1068	20241029T082842_grilljo1	410349	286505	7038	286246	6996	0	0	259	42	262653	98	18924	4031	4632	48	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208366	D20E	D20E_1.fq.gz	b865fe8b8aa0736a9a153bbb50c83ad2004d3a6538bb36aa07ba0f2c86247740	D20E_2.fq.gz	de4d677daedd2815f68684603c22326aba96e29132abc5abdd1979e35156565d	1068	20241029T082842_grilljo1	479394	333452	7926	330436	7810	431	13	2585	103	303317	113	23570	5757	3271	671	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208311	P16B	P16B_1.fq.gz	6bb319c1d489b1dadd4957e20d262635750e2304683837e3c2599686a2dcf2da	P16B_2.fq.gz	3e06998b30e25e7d1899241a82b1755feefa8ee5095698614df66b6269dc14d9	1068	20241029T082842_grilljo1	335030	230067	5733	228594	5673	766	40	707	20	209892	103	17571	2290	985	1662	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208358	C_P_F	C_P_F_1.fq.gz	2d621fd04b94c042dce657350d280a33c8a8c4e7aa5b19b13ae00082d2b27b1b	C_P_F_2.fq.gz	54b0294c5593d97d790ae485b1485d360c1f0d378e010af3b775595923c95910	1068	20241029T082842_grilljo1	357477	278867	4951	277146	4882	30	2	1691	67	253879	111	22212	5189	2464	933	0	0	0	0	0	PCR_control	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208369	C_D_E	C_D_E_1.fq.gz	5c495bd9bf4454985245ebc5dc287b3e35202fc486a8dadc85c937d740324da8	C_D_E_2.fq.gz	cec437eb22bfb2f5253298211f7d9a3440719428e508df162ab195da9c1514af	1068	20241029T082842_grilljo1	377216	258674	6791	256970	6698	944	42	760	51	236261	95	22176	3618	0	537	0	0	0	0	0	PCR_control	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
